time-1	source-iicr-1	source-cdf-1	source-pdf-1	inferred-iicr-1	inferred-cdf-1	inferred-pdf-1	model-iicr-1	model-cdf-1	model-pdf-1	time-2	source-iicr-2	source-cdf-2	source-pdf-2	inferred-iicr-2	inferred-cdf-2	inferred-pdf-2	model-iicr-2	model-cdf-2	model-pdf-2	time-3	source-iicr-3	source-cdf-3	source-pdf-3	inferred-iicr-3	inferred-cdf-3	inferred-pdf-3	model-iicr-3	model-cdf-3	model-pdf-3	time-4	source-iicr-4	source-cdf-4	source-pdf-4	inferred-iicr-4	inferred-cdf-4	inferred-pdf-4	model-iicr-4	model-cdf-4	model-pdf-4	time-5	source-iicr-5	source-cdf-5	source-pdf-5	inferred-iicr-5	inferred-cdf-5	inferred-pdf-5	model-iicr-5	model-cdf-5	model-pdf-5
1.0	101.142	0.00988704	0.00978929	172.505	0.00289956	0.00578011	model-iicr-1	model-cdf-1	model-pdf-1	1.0	101.142	0.00988704	0.00978929	172.509	0.0028995	0.00577998	model-iicr-2	model-cdf-2	model-pdf-2	1.0	101.142	0.00988704	0.00978929	171.752	0.00291228	0.0058054	model-iicr-3	model-cdf-3	model-pdf-3	1.0	101.142	0.00988704	0.00978929	171.887	0.00290999	0.00580085	model-iicr-4	model-cdf-4	model-pdf-4	1.0	101.142	0.00988704	0.00978929	172.89	0.00289312	0.0057673	model-iicr-5	model-cdf-5	model-pdf-5
1.00231	101.164	2.28122e-05	0.00988473	172.507	0.00290623	0.00578002	model-iicr-1	model-cdf-1	model-pdf-1	1.00231	101.164	2.28122e-05	0.00988473	172.511	0.00290617	0.00577989	model-iicr-2	model-cdf-2	model-pdf-2	1.00231	101.164	2.28122e-05	0.00988473	171.753	0.00291898	0.00580531	model-iicr-3	model-cdf-3	model-pdf-3	1.00231	101.164	2.28122e-05	0.00988473	171.888	0.00291669	0.00580076	model-iicr-4	model-cdf-4	model-pdf-4	1.00231	101.164	2.28122e-05	0.00988473	172.891	0.00289977	0.00576721	model-iicr-5	model-cdf-5	model-pdf-5
1.02096	101.186	0.000207156	0.00988077	172.519	0.00296014	0.00577932	model-iicr-1	model-cdf-1	model-pdf-1	1.02096	101.186	0.000207156	0.00988077	172.523	0.00296007	0.00577919	model-iicr-2	model-cdf-2	model-pdf-2	1.02096	101.186	0.000207156	0.00988077	171.765	0.00297312	0.0058046	model-iicr-3	model-cdf-3	model-pdf-3	1.02096	101.186	0.000207156	0.00988077	171.9	0.00297078	0.00580005	model-iicr-4	model-cdf-4	model-pdf-4	1.02096	101.186	0.000207156	0.00988077	172.903	0.00295356	0.00576651	model-iicr-5	model-cdf-5	model-pdf-5
1.03996	101.208	0.000394855	0.00987675	172.531	0.00301504	0.00577859	model-iicr-1	model-cdf-1	model-pdf-1	1.03996	101.208	0.000394855	0.00987675	172.535	0.00301497	0.00577847	model-iicr-2	model-cdf-2	model-pdf-2	1.03996	101.208	0.000394855	0.00987675	171.777	0.00302826	0.00580387	model-iicr-3	model-cdf-3	model-pdf-3	1.03996	101.208	0.000394855	0.00987675	171.912	0.00302588	0.00579932	model-iicr-4	model-cdf-4	model-pdf-4	1.03996	101.208	0.000394855	0.00987675	172.915	0.00300834	0.00576579	model-iicr-5	model-cdf-5	model-pdf-5
1.05931	101.231	0.000585969	0.00987265	172.543	0.00307095	0.00577786	model-iicr-1	model-cdf-1	model-pdf-1	1.05931	101.231	0.000585969	0.00987265	172.547	0.00307088	0.00577773	model-iicr-2	model-cdf-2	model-pdf-2	1.05931	101.231	0.000585969	0.00987265	171.789	0.00308442	0.00580313	model-iicr-3	model-cdf-3	model-pdf-3	1.05931	101.231	0.000585969	0.00987265	171.924	0.003082	0.00579859	model-iicr-4	model-cdf-4	model-pdf-4	1.05931	101.231	0.000585969	0.00987265	172.927	0.00306413	0.00576506	model-iicr-5	model-cdf-5	model-pdf-5
1.07903	101.254	0.000780557	0.00986848	172.555	0.0031279	0.00577711	model-iicr-1	model-cdf-1	model-pdf-1	1.07903	101.254	0.000780557	0.00986848	172.559	0.00312783	0.00577698	model-iicr-2	model-cdf-2	model-pdf-2	1.07903	101.254	0.000780557	0.00986848	171.802	0.00314162	0.00580238	model-iicr-3	model-cdf-3	model-pdf-3	1.07903	101.254	0.000780557	0.00986848	171.937	0.00313915	0.00579783	model-iicr-4	model-cdf-4	model-pdf-4	1.07903	101.254	0.000780557	0.00986848	172.94	0.00312095	0.00576432	model-iicr-5	model-cdf-5	model-pdf-5
1.09911	101.277	0.000978683	0.00986424	172.568	0.0031859	0.00577635	model-iicr-1	model-cdf-1	model-pdf-1	1.09911	101.277	0.000978683	0.00986424	172.572	0.00318583	0.00577622	model-iicr-2	model-cdf-2	model-pdf-2	1.09911	101.277	0.000978683	0.00986424	171.814	0.00319987	0.00580161	model-iicr-3	model-cdf-3	model-pdf-3	1.09911	101.277	0.000978683	0.00986424	171.949	0.00319736	0.00579707	model-iicr-4	model-cdf-4	model-pdf-4	1.09911	101.277	0.000978683	0.00986424	172.952	0.00317882	0.00576356	model-iicr-5	model-cdf-5	model-pdf-5
1.11956	101.301	0.00118041	0.00985992	172.581	0.00324497	0.00577558	model-iicr-1	model-cdf-1	model-pdf-1	1.11956	101.301	0.00118041	0.00985992	172.585	0.0032449	0.00577545	model-iicr-2	model-cdf-2	model-pdf-2	1.11956	101.301	0.00118041	0.00985992	171.827	0.0032592	0.00580083	model-iicr-3	model-cdf-3	model-pdf-3	1.11956	101.301	0.00118041	0.00985992	171.962	0.00325664	0.00579629	model-iicr-4	model-cdf-4	model-pdf-4	1.11956	101.301	0.00118041	0.00985992	172.965	0.00323777	0.00576278	model-iicr-5	model-cdf-5	model-pdf-5
1.1404	101.325	0.0013858	0.00985552	172.594	0.00330514	0.00577479	model-iicr-1	model-cdf-1	model-pdf-1	1.1404	101.325	0.0013858	0.00985552	172.598	0.00330506	0.00577466	model-iicr-2	model-cdf-2	model-pdf-2	1.1404	101.325	0.0013858	0.00985552	171.84	0.00331963	0.00580004	model-iicr-3	model-cdf-3	model-pdf-3	1.1404	101.325	0.0013858	0.00985552	171.976	0.00331702	0.00579549	model-iicr-4	model-cdf-4	model-pdf-4	1.1404	101.325	0.0013858	0.00985552	172.979	0.0032978	0.005762	model-iicr-5	model-cdf-5	model-pdf-5
1.16162	101.35	0.00159491	0.00985104	172.608	0.00336641	0.00577398	model-iicr-1	model-cdf-1	model-pdf-1	1.16162	101.35	0.00159491	0.00985104	172.612	0.00336634	0.00577385	model-iicr-2	model-cdf-2	model-pdf-2	1.16162	101.35	0.00159491	0.00985104	171.854	0.00338117	0.00579922	model-iicr-3	model-cdf-3	model-pdf-3	1.16162	101.35	0.00159491	0.00985104	171.989	0.00337852	0.00579468	model-iicr-4	model-cdf-4	model-pdf-4	1.16162	101.35	0.00159491	0.00985104	172.992	0.00335894	0.0057612	model-iicr-5	model-cdf-5	model-pdf-5
