time-1	source-iicr-1	source-cdf-1	source-pdf-1	inferred-iicr-1	inferred-cdf-1	inferred-pdf-1	model-iicr-1	model-cdf-1	model-pdf-1	time-2	source-iicr-2	source-cdf-2	source-pdf-2	inferred-iicr-2	inferred-cdf-2	inferred-pdf-2	model-iicr-2	model-cdf-2	model-pdf-2	time-3	source-iicr-3	source-cdf-3	source-pdf-3	inferred-iicr-3	inferred-cdf-3	inferred-pdf-3	model-iicr-3	model-cdf-3	model-pdf-3	time-4	source-iicr-4	source-cdf-4	source-pdf-4	inferred-iicr-4	inferred-cdf-4	inferred-pdf-4	model-iicr-4	model-cdf-4	model-pdf-4	time-5	source-iicr-5	source-cdf-5	source-pdf-5	inferred-iicr-5	inferred-cdf-5	inferred-pdf-5	model-iicr-5	model-cdf-5	model-pdf-5
1.0	101.322	0.00986955	0.00977214	163.463	0.00306365	0.00609884	model-iicr-1	model-cdf-1	model-pdf-1	1.0	101.322	0.00986955	0.00977214	163.284	0.003067	0.00610553	model-iicr-2	model-cdf-2	model-pdf-2	1.0	101.322	0.00986955	0.00977214	163.381	0.00306519	0.00610191	model-iicr-3	model-cdf-3	model-pdf-3	1.0	101.322	0.00986955	0.00977214	163.356	0.00306566	0.00610285	model-iicr-4	model-cdf-4	model-pdf-4	1.0	101.322	0.00986955	0.00977214	163.355	0.00306566	0.00610286	model-iicr-5	model-cdf-5	model-pdf-5
1.00231	101.346	2.27714e-05	0.00986691	163.466	0.00307069	0.00609871	model-iicr-1	model-cdf-1	model-pdf-1	1.00231	101.346	2.27714e-05	0.00986691	163.286	0.00307404	0.0061054	model-iicr-2	model-cdf-2	model-pdf-2	1.00231	101.346	2.27714e-05	0.00986691	163.383	0.00307223	0.00610177	model-iicr-3	model-cdf-3	model-pdf-3	1.00231	101.346	2.27714e-05	0.00986691	163.358	0.0030727	0.00610272	model-iicr-4	model-cdf-4	model-pdf-4	1.00231	101.346	2.27714e-05	0.00986691	163.358	0.0030727	0.00610273	model-iicr-5	model-cdf-5	model-pdf-5
1.02096	101.372	0.00020678	0.00986264	163.485	0.00312757	0.00609765	model-iicr-1	model-cdf-1	model-pdf-1	1.02096	101.372	0.00020678	0.00986264	163.305	0.00313098	0.00610434	model-iicr-2	model-cdf-2	model-pdf-2	1.02096	101.372	0.00020678	0.00986264	163.402	0.00312913	0.00610072	model-iicr-3	model-cdf-3	model-pdf-3	1.02096	101.372	0.00020678	0.00986264	163.377	0.00312961	0.00610166	model-iicr-4	model-cdf-4	model-pdf-4	1.02096	101.372	0.00020678	0.00986264	163.377	0.00312962	0.00610167	model-iicr-5	model-cdf-5	model-pdf-5
1.03996	101.397	0.000394132	0.00985829	163.504	0.00318549	0.00609657	model-iicr-1	model-cdf-1	model-pdf-1	1.03996	101.397	0.000394132	0.00985829	163.324	0.00318896	0.00610326	model-iicr-2	model-cdf-2	model-pdf-2	1.03996	101.397	0.000394132	0.00985829	163.422	0.00318708	0.00609964	model-iicr-3	model-cdf-3	model-pdf-3	1.03996	101.397	0.000394132	0.00985829	163.396	0.00318757	0.00610058	model-iicr-4	model-cdf-4	model-pdf-4	1.03996	101.397	0.000394132	0.00985829	163.396	0.00318758	0.00610059	model-iicr-5	model-cdf-5	model-pdf-5
1.05931	101.424	0.000584885	0.00985386	163.524	0.00324448	0.00609548	model-iicr-1	model-cdf-1	model-pdf-1	1.05931	101.424	0.000584885	0.00985386	163.344	0.00324802	0.00610217	model-iicr-2	model-cdf-2	model-pdf-2	1.05931	101.424	0.000584885	0.00985386	163.441	0.0032461	0.00609854	model-iicr-3	model-cdf-3	model-pdf-3	1.05931	101.424	0.000584885	0.00985386	163.416	0.0032466	0.00609948	model-iicr-4	model-cdf-4	model-pdf-4	1.05931	101.424	0.000584885	0.00985386	163.416	0.00324661	0.0060995	model-iicr-5	model-cdf-5	model-pdf-5
1.07903	101.45	0.0007791	0.00984935	163.544	0.00330456	0.00609436	model-iicr-1	model-cdf-1	model-pdf-1	1.07903	101.45	0.0007791	0.00984935	163.364	0.00330816	0.00610105	model-iicr-2	model-cdf-2	model-pdf-2	1.07903	101.45	0.0007791	0.00984935	163.462	0.00330621	0.00609742	model-iicr-3	model-cdf-3	model-pdf-3	1.07903	101.45	0.0007791	0.00984935	163.436	0.00330672	0.00609837	model-iicr-4	model-cdf-4	model-pdf-4	1.07903	101.45	0.0007791	0.00984935	163.436	0.00330673	0.00609838	model-iicr-5	model-cdf-5	model-pdf-5
1.09911	101.478	0.000976837	0.00984476	163.564	0.00336574	0.00609322	model-iicr-1	model-cdf-1	model-pdf-1	1.09911	101.478	0.000976837	0.00984476	163.384	0.00336942	0.00609991	model-iicr-2	model-cdf-2	model-pdf-2	1.09911	101.478	0.000976837	0.00984476	163.482	0.00336742	0.00609628	model-iicr-3	model-cdf-3	model-pdf-3	1.09911	101.478	0.000976837	0.00984476	163.457	0.00336794	0.00609723	model-iicr-4	model-cdf-4	model-pdf-4	1.09911	101.478	0.000976837	0.00984476	163.456	0.00336795	0.00609724	model-iicr-5	model-cdf-5	model-pdf-5
1.11956	101.505	0.00117816	0.00984009	163.585	0.00342805	0.00609206	model-iicr-1	model-cdf-1	model-pdf-1	1.11956	101.505	0.00117816	0.00984009	163.405	0.0034318	0.00609875	model-iicr-2	model-cdf-2	model-pdf-2	1.11956	101.505	0.00117816	0.00984009	163.503	0.00342977	0.00609512	model-iicr-3	model-cdf-3	model-pdf-3	1.11956	101.505	0.00117816	0.00984009	163.477	0.0034303	0.00609607	model-iicr-4	model-cdf-4	model-pdf-4	1.11956	101.505	0.00117816	0.00984009	163.477	0.0034303	0.00609608	model-iicr-5	model-cdf-5	model-pdf-5
1.1404	101.534	0.00138313	0.00983533	163.607	0.00349151	0.00609088	model-iicr-1	model-cdf-1	model-pdf-1	1.1404	101.534	0.00138313	0.00983533	163.427	0.00349532	0.00609757	model-iicr-2	model-cdf-2	model-pdf-2	1.1404	101.534	0.00138313	0.00983533	163.524	0.00349326	0.00609394	model-iicr-3	model-cdf-3	model-pdf-3	1.1404	101.534	0.00138313	0.00983533	163.499	0.0034938	0.00609489	model-iicr-4	model-cdf-4	model-pdf-4	1.1404	101.534	0.00138313	0.00983533	163.498	0.0034938	0.0060949	model-iicr-5	model-cdf-5	model-pdf-5
1.16162	101.562	0.00159182	0.00983049	163.628	0.00355614	0.00608968	model-iicr-1	model-cdf-1	model-pdf-1	1.16162	101.562	0.00159182	0.00983049	163.448	0.00356002	0.00609637	model-iicr-2	model-cdf-2	model-pdf-2	1.16162	101.562	0.00159182	0.00983049	163.546	0.00355792	0.00609274	model-iicr-3	model-cdf-3	model-pdf-3	1.16162	101.562	0.00159182	0.00983049	163.52	0.00355847	0.00609368	model-iicr-4	model-cdf-4	model-pdf-4	1.16162	101.562	0.00159182	0.00983049	163.52	0.00355847	0.0060937	model-iicr-5	model-cdf-5	model-pdf-5
