Individus,Cas SNIF,IICR,Taille,M,Echantillon,Omega,n_inf,M_inf,N0_inf
150,30,10,1x3,10,11,1,,,
151,31,11,1x3,10,12,0.3,,,
152,31,11,1x3,10,12,0.3,,,
153,31,11,1x3,10,12,0.3,,,
154,31,11,1x3,10,12,0.3,,,
155,31,11,1x3,10,12,0.3,,,
156,32,11,1x3,10,12,0.5,,,
157,32,11,1x3,10,12,0.5,,,
158,32,11,1x3,10,12,0.5,,,
159,32,11,1x3,10,12,0.5,,,
160,32,11,1x3,10,12,0.5,,,
161,33,11,1x3,10,12,1,,,
162,33,11,1x3,10,12,1,,,
163,33,11,1x3,10,12,1,,,
164,33,11,1x3,10,12,1,,,
165,33,11,1x3,10,12,1,,,
166,34,12,1x3,50,11,0.3,,,
167,34,12,1x3,50,11,0.3,,,
168,34,12,1x3,50,11,0.3,,,
169,34,12,1x3,50,11,0.3,,,
170,34,12,1x3,50,11,0.3,,,
171,35,12,1x3,50,11,0.5,,,
172,35,12,1x3,50,11,0.5,,,
173,35,12,1x3,50,11,0.5,,,
174,35,12,1x3,50,11,0.5,,,
175,35,12,1x3,50,11,0.5,,,
176,36,12,1x3,50,11,1,,,
177,36,12,1x3,50,11,1,,,
178,36,12,1x3,50,11,1,,,
179,36,12,1x3,50,11,1,,,
180,36,12,1x3,50,11,1,,,
181,37,13,1x3,50,12,0.3,,,
182,37,13,1x3,50,12,0.3,,,
183,37,13,1x3,50,12,0.3,,,
184,37,13,1x3,50,12,0.3,,,
185,37,13,1x3,50,12,0.3,,,
186,38,13,1x3,50,12,0.5,,,
187,38,13,1x3,50,12,0.5,,,
188,38,13,1x3,50,12,0.5,,,
189,38,13,1x3,50,12,0.5,,,
190,38,13,1x3,50,12,0.5,,,
191,39,13,1x3,50,12,1,,,
192,39,13,1x3,50,12,1,,,
193,39,13,1x3,50,12,1,,,
194,39,13,1x3,50,12,1,,,
195,39,13,1x3,50,12,1,,,
196,40,14,1x3,100,11,0.3,,,
197,40,14,1x3,100,11,0.3,,,
198,40,14,1x3,100,11,0.3,,,
199,40,14,1x3,100,11,0.3,,,
200,40,14,1x3,100,11,0.3,,,
201,41,14,1x3,100,11,0.5,,,
202,41,14,1x3,100,11,0.5,,,
203,41,14,1x3,100,11,0.5,,,
204,41,14,1x3,100,11,0.5,,,
205,41,14,1x3,100,11,0.5,,,
206,42,14,1x3,100,11,1,,,
207,42,14,1x3,100,11,1,,,
208,42,14,1x3,100,11,1,,,
209,42,14,1x3,100,11,1,,,
210,42,14,1x3,100,11,1,,,
211,43,15,1x3,100,12,0.3,,,
212,43,15,1x3,100,12,0.3,,,
213,43,15,1x3,100,12,0.3,,,
214,43,15,1x3,100,12,0.3,,,
215,43,15,1x3,100,12,0.3,,,
216,44,15,1x3,100,12,0.5,,,
217,44,15,1x3,100,12,0.5,,,
218,44,15,1x3,100,12,0.5,,,
219,44,15,1x3,100,12,0.5,,,
220,44,15,1x3,100,12,0.5,,,
221,45,15,1x3,100,12,1,,,
222,45,15,1x3,100,12,1,,,
223,45,15,1x3,100,12,1,,,
224,45,15,1x3,100,12,1,,,
225,45,15,1x3,100,12,1,,,
226,46,16,1x4,1,11,0.3,,,
227,46,16,1x4,1,11,0.3,,,
228,46,16,1x4,1,11,0.3,,,
229,46,16,1x4,1,11,0.3,,,
230,46,16,1x4,1,11,0.3,,,
231,47,16,1x4,1,11,0.5,,,
232,47,16,1x4,1,11,0.5,,,
233,47,16,1x4,1,11,0.5,,,
234,47,16,1x4,1,11,0.5,,,
235,47,16,1x4,1,11,0.5,,,
236,48,16,1x4,1,11,1,,,
237,48,16,1x4,1,11,1,,,
238,48,16,1x4,1,11,1,,,
239,48,16,1x4,1,11,1,,,
240,48,16,1x4,1,11,1,,,
241,49,17,1x4,1,12,0.3,,,
242,49,17,1x4,1,12,0.3,,,
243,49,17,1x4,1,12,0.3,,,
244,49,17,1x4,1,12,0.3,,,
245,49,17,1x4,1,12,0.3,,,
246,50,17,1x4,1,12,0.5,,,
247,50,17,1x4,1,12,0.5,,,
248,50,17,1x4,1,12,0.5,,,
249,50,17,1x4,1,12,0.5,,,
250,50,17,1x4,1,12,0.5,,,
251,51,17,1x4,1,12,1,,,
252,51,17,1x4,1,12,1,,,
